聚类:1	中国馆 a
121.499821	31.189427	96
121.500699	31.188729	97
121.502037	31.190329	98
121.501038	31.189537	99
121.501039	31.190637	100
121.501048	31.189407	101
121.501808	31.190131	102
聚类:2	餐饮购物中心 b
121.494777	31.190257	104
121.494348	31.190674	105
121.495497:q	31.190447	106
121.496567	31.191325	107
聚类:3	世博轴 c
121.498553	31.190201	71
121.4994	31.187841	72
121.49976	31.188068	73
121.498086	31.192378	74
121.499629	31.186717	75
121.500087	31.184892	76
121.498795	31.19202	77
121.498523	31.190221	78
121.498832	31.188937	79
121.499939	31.186775	80
121.49939	31.18651	81
121.499221	31.186912	82
121.500207	31.184921	83
121.499293	31.190003	84
聚类:4	演艺中心 d
121.499645	31.194102	91
121.500703	31.193973	92
121.499975	31.194539	93
聚类:5	庆典广场 e
121.498239	31.195038	94
121.497669	31.194834	95
聚类:6	挪威葡萄牙（欧洲片区） f
121.486824	31.187919	21
121.488336	31.187951	22
121.490258	31.188987	23
121.490076	31.187129	43
121.487646	31.188964	45
121.487556	31.188945	46
聚类:7	非洲馆   g
121.480207	31.188184	4
121.481199	31.189294	34
121.480997	31.188407	51
121.479935	31.187849	52
121.480156	31.188495	133
聚类:8	俄罗斯片区 h
121.484061	31.187143	19
121.485433	31.187125	20
121.484462	31.187975	37
121.484681	31.18586	38
121.484412	31.188006	56
121.484182	31.187801	57
121.484132	31.187922	58
121.484741	31.186118	59
121.485042	31.186553	137
121.48303	31.186763	146
121.48348	31.186564	147
聚类:9	最佳实践区  i
121.501495	31.207456	202
121.499929	31.20798	204
121.499989	31.20793	205
121.501007	31.208051	220
121.500828	31.208183	221
121.501426	31.207316	222
121.501167	31.207379	223
121.501246	31.207518	224
121.500759	31.208973	244
121.500419	31.208616	245
121.499161	31.208207	246
121.500039	31.207709	247
121.501387	31.208238	248
121.501096	31.206809	249
聚类:10	世博会博物馆 j
121.487484	31.198294	231
121.487255	31.199198	232
聚类:11	企业馆片区1  k
121.491787	31.198708	233
121.491919	31.201298	234
121.492178	31.200394	235
121.492509	31.201349	236
121.490448	31.200912	237
121.496488	31.201463	238
聚类:12	船舶馆  l
121.499403	31.20143	239
聚类:13	企业馆片区2   m
121.50146	31.202633	207
121.501979	31.202318	208
121.50133	31.202383	209
121.502059	31.203028	218
121.50186	31.20281	219
121.5016	31.202381	240
121.500273	31.202964	241
121.50114	31.201864	242
121.501343	31.204165	243
聚类:14	亚洲区-日韩等   n
121.504455	31.195557	120
121.504235	31.195329	121
121.504355	31.195448	122
聚类:14	亚洲区-其他  o
121.50586	31.194411	123
121.50573	31.194261	124
121.506486	31.193578	125
