基站名称	基站lac_id	基站cell_id	基站经度	基站纬度
GE-主题馆_1	6185	4145	121.48600 	31.18500 
GE-主题馆_2	6185	4146	121.48600 	31.18500 
GE-主题馆_4	6185	4148	121.48600 	31.18500 
DE-主题馆_1	6185	4129	121.48600 	31.18500 
DE-主题馆_2	6185	4130	121.48600 	31.18500 
DE-主题馆_4	6185	4132	121.48600 	31.18500 
GE-特钢站_1	6185	4177	121.48027 	31.18873 
GE-特钢站_2	6185	4178	121.48027 	31.18873 
GE-特钢站_3	6185	4179	121.48027 	31.18873 
DE-特钢站_1	6185	4193	121.48027 	31.18873 
DE-特钢站_2	6185	4194	121.48027 	31.18873 
DE-特钢站_3	6185	4195	121.48027 	31.18873 
GE-世欧_1	6184	113	121.47810 	31.18214 
DE-世欧_1	6184	81	121.47810 	31.18214 
GE-非洲馆_1	6184	529	121.46917 	31.18421 
GE-非洲馆_2	6184	530	121.46917 	31.18421 
GE-非洲馆_3	6184	531	121.46917 	31.18421 
DE-非洲馆_1	6184	97	121.46917 	31.18421 
DE-非洲馆_2	6184	98	121.46917 	31.18421 
DE-非洲馆_3	6184	99	121.46917 	31.18421 
GE-卢浦桥东_2	6184	610	121.47742 	31.18803 
GE-卢浦桥东_3	6184	611	121.47742 	31.18803 
DE-卢浦桥东_2	6184	594	121.47742 	31.18803 
DE-卢浦桥东_3	6184	595	121.47742 	31.18803 
GE-高架平台-浦东灯杆1_1	6184	4001	121.46845 	31.18173 
GE-高架平台-浦东灯杆1_2	6184	4002	121.46845 	31.18173 
GE-高架平台-浦东灯杆1_3	6184	4003	121.46845 	31.18173 
DE-高架平台-浦东灯杆1_1	6184	3905	121.46845 	31.18173 
DE-高架平台-浦东灯杆1_2	6184	3906	121.46845 	31.18173 
DE-高架平台-浦东灯杆1_3	6184	3907	121.46845 	31.18173 
GE-高架平台-浦东灯杆2_1	6184	4017	121.47199 	31.18288 
GE-高架平台-浦东灯杆2_2	6184	4018	121.47199 	31.18288 
GE-高架平台-浦东灯杆2_3	6184	4019	121.47199 	31.18288 
DE-高架平台-浦东灯杆2_1	6184	3921	121.47199 	31.18288 
DE-高架平台-浦东灯杆2_2	6184	3922	121.47199 	31.18288 
DE-高架平台-浦东灯杆2_3	6184	3923	121.47199 	31.18288 
GE-高架平台-浦东灯杆3_1	6184	4033	121.47499 	31.18384 
GE-高架平台-浦东灯杆3_2	6184	4034	121.47499 	31.18384 
GE-高架平台-浦东灯杆3_3	6184	4035	121.47499 	31.18384 
DE-高架平台-浦东灯杆3_1	6184	3937	121.47499 	31.18384 
DE-高架平台-浦东灯杆3_2	6184	3938	121.47499 	31.18384 
DE-高架平台-浦东灯杆3_3	6184	3939	121.47499 	31.18384 
GE-高架平台-浦东灯杆4_1	6185	8001	121.47896 	31.18818 
GE-高架平台-浦东灯杆4_2	6185	8002	121.47896 	31.18818 
GE-高架平台-浦东灯杆4_3	6185	8003	121.47896 	31.18818 
DE-高架平台-浦东灯杆4_1	6185	8017	121.47896 	31.18818 
DE-高架平台-浦东灯杆4_2	6185	8018	121.47896 	31.18818 
DE-高架平台-浦东灯杆4_3	6185	8019	121.47896 	31.18818 
GE-高架平台-浦东灯杆5_1	6185	8033	121.47994 	31.18552 
GE-高架平台-浦东灯杆5_2	6185	8034	121.47994 	31.18552 
GE-高架平台-浦东灯杆5_3	6185	8035	121.47994 	31.18552 
DE-高架平台-浦东灯杆5_1	6185	8049	121.47994 	31.18552 
DE-高架平台-浦东灯杆5_2	6185	8050	121.47994 	31.18552 
DE-高架平台-浦东灯杆5_3	6185	8051	121.47994 	31.18552 
GE-高架平台-浦东灯杆6_1	6185	8065	121.48076 	31.18311 
GE-高架平台-浦东灯杆6_2	6185	8066	121.48076 	31.18311 
GE-高架平台-浦东灯杆6_3	6185	8067	121.48076 	31.18311 
DE-高架平台-浦东灯杆6_1	6185	8081	121.48076 	31.18311 
DE-高架平台-浦东灯杆6_2	6185	8082	121.48076 	31.18311 
DE-高架平台-浦东灯杆6_3	6185	8083	121.48076 	31.18311 
GE-高架平台-浦东灯杆7_1	6185	7937	121.48584 	31.18588 
GE-高架平台-浦东灯杆7_2	6185	7938	121.48584 	31.18588 
GE-高架平台-浦东灯杆7_3	6185	7939	121.48584 	31.18588 
DE-高架平台-浦东灯杆7_1	6185	7969	121.48584 	31.18588 
DE-高架平台-浦东灯杆7_2	6185	7970	121.48584 	31.18588 
DE-高架平台-浦东灯杆7_3	6185	7971	121.48584 	31.18588 
GE-高架平台-浦东灯杆8_1	6186	11937	121.48977 	31.18815 
GE-高架平台-浦东灯杆8_2	6186	11938	121.48977 	31.18815 
GE-高架平台-浦东灯杆8_3	6186	11939	121.48977 	31.18815 
DE-高架平台-浦东灯杆8_1	6186	11953	121.48977 	31.18815 
DE-高架平台-浦东灯杆8_2	6186	11954	121.48977 	31.18815 
DE-高架平台-浦东灯杆8_3	6186	11955	121.48977 	31.18815 
GE-高架平台-浦东灯杆9_1	6186	11777	121.48999 	31.18965 
GE-高架平台-浦东灯杆9_2	6186	11778	121.48999 	31.18965 
GE-高架平台-浦东灯杆9_3	6186	11779	121.48999 	31.18965 
